Wavelength(nm),Spectral intensity (W m-2 nm-1),Reflection (Total),Reflection (External),Reflection (Escape),Absorption (Substrate),Absorption (Front films),Absorption (Rear films),Absorption (Detached reflector),Transmission,Pathlength enhancement factor (z)
300,0.009493777667499998,0.32709213476911786,0.32709213476911786,0,0.6710099018556835,0,0,0,0,1
320,0.22390000000000004,0.25547495545077437,0.25547495545077437,0,0.7425027701188404,0,0,0,0,1
340,0.45332499999999987,0.24306007784731354,0.24306007784731354,0,0.7558931136511331,0,0,0,0,1
360,0.5822124999999999,0.2506782662654115,0.2506782662654115,0,0.7492455936298492,0,0,0,0,1
380,0.6549250000000002,0.22538985307297912,0.22538985307297912,0,0.7743783815724273,0,0,0,0,1
400,0.9512625000000001,0.16001912607475827,0.16001912607475827,0,0.8385454894497061,0,0,0,0,1
420,1.19005,0.1414202977430253,0.1414202977430253,0,0.857566903586189,0,0,0,0,1
440,1.3134,0.13676109804474948,0.13676109804474948,0,0.8601169235162732,0,0,0,0,1
460,1.5464999999999998,0.1293805478137819,0.1293805478137819,0,0.8697861188528847,0,0,0,0,1
480,1.5505,0.11778485430117673,0.11778485430117673,0,0.8814399519003736,0,0,0,0,1
500,1.55,0.11914812838914235,0.11914812838914235,0,0.8808518716108574,0,0,0,0,1
520,1.506,0.09910481833489662,0.09910481833489662,0,0.8999860907560124,0,0,0,0,1
540,1.5329999999999997,0.0994264077279921,0.0994264077279921,0,0.8996390128327556,0,0,0,0,1
560,1.5130000000000001,0.09903616918820031,0.09903616918820031,0,0.9009638308117998,0,0,0,0,1
580,1.4837500000000001,0.08599902728332909,0.08599902728332909,0,0.914000972716671,0,0,0,0,1
600,1.4597499999999999,0.08718360949317244,0.08718360949317244,0,0.9118163905068275,0,0,0,0,1
620,1.4337499999999996,0.0910375479281624,0.0910375479281624,0,0.9089624520718378,0,0,0,0,1
640,1.42175,0.08688143798116807,0.08688143798116807,0,0.9113794315840493,0,0,0,0,1
660,1.3815000000000004,0.08116948526342646,0.08116948526342646,0,0.9188305147365735,0,0,0,0,1
680,1.33675,0.09123166330198182,0.09123166330198182,0,0.9087683366980182,0,0,0,0,1
700,1.2822499999999997,0.06400941665696507,0.06400941665696507,0,0.9352093333430348,0,0,0,0,1
720,1.1386999999999998,0.08092801977466305,0.08092801977466305,0,0.917080698275664,0,0,0,0,1.0218080018848148
740,1.2085000000000001,0.08263515851556083,0.08263515851556083,0,0.9173648414844365,0,0,0,0,1.184949438610127
760,0.9461000000000002,0.0850487246424215,0.0850487246424215,0,0.9140253494313282,0,0,0,0,1.193341758839509
780,1.1582500000000004,0.07852052617633631,0.07852052617633631,0,0.9214794738118355,0,0,0,0,1.2221395577898444
800,1.08,0.07585482151509465,0.07585482151509465,0,0.9232756125874003,0,0,0,0,1.2161790535889507
820,0.915875,0.08763811385619244,0.08763811385619244,0,0.9123618265772706,0,0,0,0,1.2409905021962317
840,0.9781000000000002,0.07333025092595578,0.07333025092595578,0,0.9257171544706125,0,0,0,0,1.2659857205914564
860,0.95415,0.07322665870180929,0.07322665870180929,0,0.9267699671054291,0,0,0,0,1.308476834922262
880,0.9348999999999996,0.08268461695432565,0.08268461695432565,0,0.915366922508918,0,0,0,0,1.2539896791811984
900,0.7464500000000002,0.07037853628677053,0.07037853628677053,0,0.928370409863812,0,0,0,0,1.3005058749180027
920,0.6726,0.07609476352147085,0.07609476352147085,0,0.9205394358380226,0,0,0,0,1.2799989260577536
940,0.3032500000000001,0.0788547103085426,0.0788547103085426,0,0.9162983989080189,0,1.3359033466394713e-20,0,0.00008932426548473949,1.4337407103470903
960,0.43975,0.08502491737553969,0.08502491737553969,0,0.9133193559260759,0,3.3288633595252535e-18,0,0.0002217981815197355,2.3635834400535707
980,0.668025,0.08093643629074079,0.08092378266068691,0.000012653630053885423,0.9145006063093891,0,1.0155193963114625e-17,0,0.000879271140280375,2.773155436331217
1000,0.7315749999999998,0.07491930279430047,0.06554972401626695,0.009369578778033516,0.9203666249942885,0,1.561989604508577e-17,0,0.002127376368870557,3.27910297329111
1020,0.7007500000000001,0.1210498287099803,0.08174904344501961,0.03930078526496068,0.867699262827399,0,2.7509589424189137e-17,0,0.009267219453714018,3.643002809058794
1040,0.6695500000000001,0.16301656901878184,0.06777048876225679,0.09524608025652505,0.8090508207141553,0,1.270111178666208e-17,0,0.024026485817102393,4.483212220071495
1060,0.63045,0.2605164738393767,0.08781843587730556,0.17269803796207114,0.697747897972541,0,6.838023404720743e-17,0,0.03806490811067709,6.541889579866347
1080,0.5928249999999998,0.32522213188787286,0.07931480706955679,0.24590732481831606,0.6073276886940365,0,1.4197653683672365e-16,0,0.06257714886954037,8.715748298307302
1100,0.49625000000000014,0.4136552621896237,0.06477478655380378,0.3488804756358199,0.4790277382943756,0,7.704164903957759e-17,0,0.10274305837968115,10.27344922162429
1120,0.18226500000000004,0.4615457272344252,0.07802650396917739,0.38351922326524784,0.3837968352182802,0,2.7723188999180943e-16,0,0.15186140935752113,13.46260847857053
1140,0.184785,0.5745123017808702,0.06949337243160406,0.5050189293492662,0.22826147775170263,0,2.1407344063522834e-16,0,0.1950613860459374,14.07194589537317
1160,0.32659999999999995,0.5843710640241582,0.06604497455875943,0.5183260894653987,0.11785353698691672,0,1.9458261259892214e-16,0,0.2950541433422873,16.05739710457517
1180,0.42725,0.636259652543073,0.0825876664379165,0.5536719861051566,0.02225144437403119,0,3.223584120633779e-16,0,0.34077000909519234,18.873636562285988
1200,0.4373250000000001,0.6852954602259409,0.06787696940013081,0.6174184908258101,0.010481914177412864,0,4.236722964861178e-16,0,0.3008303659513323,25.70080981198297
