Wavelength(nm),Spectral intensity (W m-2 nm-1),Reflection (Total),Reflection (External),Reflection (Escape),Absorption (Substrate),Absorption (Front films),Absorption (Rear films),Absorption (Detached reflector),Transmission,Pathlength enhancement factor (z)
900,0.7464500000000002,0.06919622690595817,0.06919622690595817,0,0.9302515211170231,0,0,0,0,1.2446095274392364
920,0.6726,0.07595399128718312,0.07595399128718312,0,0.9239609835460264,0,0,0,0,1.2910859747671046
940,0.3032500000000001,0.07387956602479509,0.07387956602479509,0,0.9254176349269541,0,0,0,0,1.308762316983932
960,0.43975,0.06986713799797975,0.06986713799797975,0,0.9255001002436802,0,0,0,0.0004784047872858037,1.3315474164319299
980,0.668025,0.08820659700455116,0.08820659700455116,0,0.9089701919609308,0,0,0,0.001143744201830427,2.0165355926161146
1000,0.7315749999999998,0.07508351613813474,0.07504880222898964,0.0000347139091450982,0.9168401278609231,0,0,0,0.0035784162627445783,2.475692071808898
1020,0.7007500000000001,0.08401418318747575,0.07442577577137799,0.00958840741609776,0.9043194628325752,0,0,0,0.007890789037490636,3.160450066483619
1040,0.6695500000000001,0.11922457660270953,0.0777999956009839,0.041424581001725636,0.8595483944245492,0,0,0,0.018106904515934646,3.9721305641928
1060,0.63045,0.1819891327442516,0.07654136757296777,0.10544776517128383,0.7716530754591463,0,0,0,0.041532847677029756,5.427832027604538
1080,0.5928249999999998,0.24755497021978773,0.07890346547106888,0.16865150474871884,0.6845532029084422,0,0,0,0.06304341493109945,7.323283547468739
1100,0.49625000000000014,0.3308312477255365,0.0740883912442554,0.25674285648128115,0.5895698801267536,0,0,0,0.07424192505619208,9.651747637405894
1120,0.18226500000000004,0.37691520471023127,0.07414749830008024,0.30276770641015105,0.5006328263494135,0,0,0,0.11686447484594295,12.983722031750162
1140,0.184785,0.46253186149296593,0.07353643780762721,0.38899542368533874,0.3637479281236133,0,0,0,0.16951504133521378,16.640149740212895
1160,0.32659999999999995,0.5434095384531588,0.07480644602367477,0.468603092429484,0.2226586579701549,0,0,0,0.22689965033541512,21.877162767210876
1180,0.42725,0.612579131908125,0.07397144711963191,0.5386076847884931,0.04982944354886799,0,0,0,0.3246343714433706,28.362924294672478
1200,0.4373250000000001,0.6485341878107943,0.07115333231829722,0.5773808554924971,0.016766839606153553,0,0,0,0.3291224199403253,27.58150149601604
